ADM0_NAME,ADM1_NAME,ADM2_CODE,ADM2_NAME,area_ee,losstotal,mask_hansen,lossyear,sum
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,20,42.6456713
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,21,58.6202374
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,22,77.961763
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,0,6863.6877367
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,1,23.8813072
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,2,30.5787612
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,3,26.4529326
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,4,12.4976622
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,5,35.2319584
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,6,3.0693837
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,7,14.4875219
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,8,10.3858886
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,9,11.90001
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,10,7.8530289
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,11,11.8194399
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,12,18.6496276
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,13,12.3470201
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,14,15.8335175
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,15,9.2047727
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,16,22.3331928
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,17,29.010176
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,18,22.2933782
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,19,25.4139369
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,20,32.3193218
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,21,38.2668852
Brazil,Amazonas,6496,Guajara,7699.2426378,457.1705768,7320.8583135,22,43.3408534
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,0,11238.5996516
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,1,7.5130559
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,2,7.7996596
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,3,10.3048906
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,4,3.9195816
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,5,22.1424548
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,6,4.5948283
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,7,5.2988536
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,8,10.3452351
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,9,5.0230974
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,10,4.2642692
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,11,5.3256377
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,12,11.4138015
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,13,11.048208
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,14,10.1132604
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,15,6.4591177
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,16,11.5527185
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,17,14.4364957
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,18,11.998859
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,19,11.6955954
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,20,13.4870209
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,21,19.8478362
Brazil,Amazonas,6498,Ipixuna,11679.5140434,227.1875298,11465.7871814,22,18.6030528
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,0,21371.7652968
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,1,2.9915748
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,2,4.0709851
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,3,1.7569423
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,4,4.2172079
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,5,5.8356562
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,6,4.0805581
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,7,5.7769564
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,8,3.6093484
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,9,3.5121625
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,10,3.9500879
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,11,4.2706362
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,12,5.6773976
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,13,4.0022579
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,14,4.9950609
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,15,2.6640333
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,16,3.8295141
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,17,5.8549959
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,18,2.4617046
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,19,3.3689394
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,20,5.3849248
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,21,3.9323106
